TIME,IP,PORT,TYPE,ERROR
09:11:25,192.168.10.20,1021,tcp,Exception error for port 1021
09:11:25,192.168.10.20,1022,tcp,Exception error for port 1022
09:11:25,192.168.10.20,1023,tcp,Exception error for port 1023
09:11:25,192.168.10.20,1024,tcp,Exception error for port 1024
09:11:25,192.168.10.20,1025,tcp,Exception error for port 1025
09:11:25,192.168.10.20,1026,tcp,Exception error for port 1026
09:11:25,192.168.10.20,1027,tcp,Exception error for port 1027
09:11:25,192.168.10.20,1028,tcp,Exception error for port 1028
09:11:25,192.168.10.20,1029,tcp,Exception error for port 1029
09:11:25,192.168.10.20,1030,tcp,Exception error for port 1030
09:11:25,192.168.10.20,1031,tcp,Exception error for port 1031
09:11:25,192.168.10.20,1032,tcp,Exception error for port 1032
09:11:25,192.168.10.20,1033,tcp,Exception error for port 1033
09:11:25,192.168.10.20,1034,tcp,Exception error for port 1034
09:11:25,192.168.10.20,1035,tcp,Exception error for port 1035
09:11:25,192.168.10.20,1036,tcp,Exception error for port 1036
09:11:25,192.168.10.20,1037,tcp,Exception error for port 1037
09:11:25,192.168.10.20,1038,tcp,Exception error for port 1038
09:11:25,192.168.10.20,1039,tcp,Exception error for port 1039
09:11:25,192.168.10.20,1040,tcp,Exception error for port 1040
09:11:25,192.168.10.20,1041,tcp,Exception error for port 1041
09:11:25,192.168.10.20,1042,tcp,Exception error for port 1042
09:11:25,192.168.10.20,1043,tcp,Exception error for port 1043
09:11:25,192.168.10.20,1044,tcp,Exception error for port 1044
09:11:25,192.168.10.20,1045,tcp,Exception error for port 1045
09:11:25,192.168.10.20,1046,tcp,Exception error for port 1046
09:11:25,192.168.10.20,1047,tcp,Exception error for port 1047
09:11:25,192.168.10.20,1048,tcp,Exception error for port 1048
09:11:25,192.168.10.20,1049,tcp,Exception error for port 1049
09:11:25,192.168.10.20,1050,tcp,Exception error for port 1050
09:11:25,192.168.10.20,1051,tcp,Exception error for port 1051
09:11:25,192.168.10.20,1052,tcp,Exception error for port 1052
09:11:25,192.168.10.20,1053,tcp,Exception error for port 1053
09:11:25,192.168.10.20,1054,tcp,Exception error for port 1054
09:11:25,192.168.10.20,1055,tcp,Exception error for port 1055
09:11:25,192.168.10.20,1056,tcp,Exception error for port 1056
09:11:25,192.168.10.20,1057,tcp,Exception error for port 1057
09:11:25,192.168.10.20,1058,tcp,Exception error for port 1058
09:11:25,192.168.10.20,1059,tcp,Exception error for port 1059
09:11:25,192.168.10.20,1060,tcp,Exception error for port 1060
09:11:25,192.168.10.20,1061,tcp,Exception error for port 1061
09:11:25,192.168.10.20,1062,tcp,Exception error for port 1062
09:11:25,192.168.10.20,1063,tcp,Exception error for port 1063
09:11:25,192.168.10.20,1064,tcp,Exception error for port 1064
09:11:25,192.168.10.20,1065,tcp,Exception error for port 1065
09:11:25,192.168.10.20,1066,tcp,Exception error for port 1066
09:11:25,192.168.10.20,1067,tcp,Exception error for port 1067
09:11:25,192.168.10.20,1068,tcp,Exception error for port 1068
09:11:25,192.168.10.20,1069,tcp,Exception error for port 1069
09:11:25,192.168.10.20,1070,tcp,Exception error for port 1070
09:11:25,192.168.10.20,1071,tcp,Exception error for port 1071
09:11:25,192.168.10.20,1072,tcp,Exception error for port 1072
09:11:25,192.168.10.20,1073,tcp,Exception error for port 1073
09:11:25,192.168.10.20,1074,tcp,Exception error for port 1074
09:11:25,192.168.10.20,1075,tcp,Exception error for port 1075
09:11:25,192.168.10.20,1076,tcp,Exception error for port 1076
09:11:25,192.168.10.20,1077,tcp,Exception error for port 1077
09:11:25,192.168.10.20,1078,tcp,Exception error for port 1078
09:11:25,192.168.10.20,1079,tcp,Exception error for port 1079
09:11:25,192.168.10.20,1080,tcp,Exception error for port 1080
09:11:25,192.168.10.20,1082,tcp,Exception error for port 1082
09:11:25,192.168.10.20,1083,tcp,Exception error for port 1083
09:11:25,192.168.10.20,1084,tcp,Exception error for port 1084
09:11:25,192.168.10.20,1085,tcp,Exception error for port 1085
09:11:25,192.168.10.20,1086,tcp,Exception error for port 1086
09:11:25,192.168.10.20,1087,tcp,Exception error for port 1087
09:11:25,192.168.10.20,1088,tcp,Exception error for port 1088
09:11:25,192.168.10.20,1089,tcp,Exception error for port 1089
09:11:25,192.168.10.20,1090,tcp,Exception error for port 1090
09:11:25,192.168.10.20,1091,tcp,Exception error for port 1091
09:11:25,192.168.10.20,1092,tcp,Exception error for port 1092
09:11:25,192.168.10.20,1093,tcp,Exception error for port 1093
09:11:25,192.168.10.20,1094,tcp,Exception error for port 1094
09:11:25,192.168.10.20,1095,tcp,Exception error for port 1095
09:11:25,192.168.10.20,1096,tcp,Exception error for port 1096
09:11:25,192.168.10.20,1097,tcp,Exception error for port 1097
09:11:25,192.168.10.20,1098,tcp,Exception error for port 1098
09:11:25,192.168.10.20,1099,tcp,Exception error for port 1099
09:11:25,192.168.10.20,1100,tcp,Exception error for port 1100
09:11:25,192.168.10.20,1101,tcp,Exception error for port 1101
09:11:25,192.168.10.20,1102,tcp,Exception error for port 1102
09:11:25,192.168.10.20,1103,tcp,Exception error for port 1103
09:11:25,192.168.10.20,1104,tcp,Exception error for port 1104
09:11:25,192.168.10.20,1105,tcp,Exception error for port 1105
09:11:25,192.168.10.20,1106,tcp,Exception error for port 1106
09:11:25,192.168.10.20,1107,tcp,Exception error for port 1107
09:11:25,192.168.10.20,1108,tcp,Exception error for port 1108
09:11:25,192.168.10.20,1109,tcp,Exception error for port 1109
09:11:25,192.168.10.20,1110,tcp,Exception error for port 1110
09:11:25,192.168.10.20,1111,tcp,Exception error for port 1111
09:11:25,192.168.10.20,1112,tcp,Exception error for port 1112
09:11:25,192.168.10.20,1113,tcp,Exception error for port 1113
09:11:25,192.168.10.20,1114,tcp,Exception error for port 1114
09:11:25,192.168.10.20,1115,tcp,Exception error for port 1115
09:11:25,192.168.10.20,1116,tcp,Exception error for port 1116
09:11:25,192.168.10.20,1117,tcp,Exception error for port 1117
09:11:25,192.168.10.20,1118,tcp,Exception error for port 1118
09:11:25,192.168.10.20,1119,tcp,Exception error for port 1119
09:11:25,192.168.10.20,1120,tcp,Exception error for port 1120
09:11:25,192.168.10.20,1121,tcp,Exception error for port 1121
09:11:25,192.168.10.20,1122,tcp,Exception error for port 1122
09:11:25,192.168.10.20,1123,tcp,Exception error for port 1123
09:11:25,192.168.10.20,1124,tcp,Exception error for port 1124
09:11:25,192.168.10.20,1125,tcp,Exception error for port 1125
09:11:25,192.168.10.20,1126,tcp,Exception error for port 1126
09:11:25,192.168.10.20,1127,tcp,Exception error for port 1127
09:11:25,192.168.10.20,1128,tcp,Exception error for port 1128
09:11:25,192.168.10.20,1129,tcp,Exception error for port 1129
09:11:25,192.168.10.20,1130,tcp,Exception error for port 1130
09:11:25,192.168.10.20,1131,tcp,Exception error for port 1131
09:11:25,192.168.10.20,1132,tcp,Exception error for port 1132
09:11:25,192.168.10.20,1133,tcp,Exception error for port 1133
09:11:25,192.168.10.20,1134,tcp,Exception error for port 1134
09:11:25,192.168.10.20,1135,tcp,Exception error for port 1135
09:11:25,192.168.10.20,1136,tcp,Exception error for port 1136
09:11:25,192.168.10.20,1137,tcp,Exception error for port 1137
09:11:25,192.168.10.20,1138,tcp,Exception error for port 1138
09:11:25,192.168.10.20,1139,tcp,Exception error for port 1139
09:11:25,192.168.10.20,1140,tcp,Exception error for port 1140
09:11:25,192.168.10.20,1141,tcp,Exception error for port 1141
09:11:25,192.168.10.20,1142,tcp,Exception error for port 1142
09:11:25,192.168.10.20,1143,tcp,Exception error for port 1143
09:11:25,192.168.10.20,1144,tcp,Exception error for port 1144
09:11:25,192.168.10.20,1145,tcp,Exception error for port 1145
09:11:25,192.168.10.20,1146,tcp,Exception error for port 1146
09:11:25,192.168.10.20,1147,tcp,Exception error for port 1147
09:11:25,192.168.10.20,1148,tcp,Exception error for port 1148
09:11:25,192.168.10.20,1149,tcp,Exception error for port 1149
09:11:25,192.168.10.20,1150,tcp,Exception error for port 1150
09:11:25,192.168.10.20,1151,tcp,Exception error for port 1151
09:11:25,192.168.10.20,1152,tcp,Exception error for port 1152
